,Symbol,longName,Name,IPO Year,Sector,Effective annual return,CIQ ID,Ticker,Country.1,Short Business Description,IQ_TOTAL_REV,IQ_RETURN_ASSETS,IQ_RETURN_EQUITY,IQ_GROSS_MARGIN,IQ_EBITDA_MARGIN,IQ_NI_MARGIN,IQ_AUDITOR_OPINION,IQ_ASSET_TURNS,IQ_CURRENT_RATIO,IQ_DAYS_SALES_OUT,IQ_DAYS_INVENTORY_OUT,IQ_DAYS_PAYABLE_OUT,IQ_TOTAL_DEBT_EQUITY,IQ_TOTAL_REV_1YR_ANN_GROWTH,IQ_NI_1YR_ANN_GROWTH,IQ_CFO_1YR_ANN_GROWTH,IQ_TOTAL_ASSETS_1YR_ANN_GROWTH,IQ_EBITDA,IQ_PAYOUT_RATIO,IQ_CASH_ST_INVEST,IQ_NPPE,IQ_GW,IQ_RE,IQ_TBV,IQ_NET_DEBT,IQ_CONTINGENT_LIABILITIES,IQ_CASH_OPER,IQ_CASH_INVEST,IQ_NET_CHANGE
10,AAWW,"Atlas Air Worldwide Holdings, Inc.",Atlas Air Worldwide Holdings NEW Common Stock,,Consumer Discretionary,-0.031524477,IQ340272,NasdaqGS:AAWW,United States,"Atlas Air Worldwide Holdings, Inc., through its subsidiaries, provides outsourced aircraft and aviation operating services.",1051.546,5.5089,9.6983,26.6347,18.0069,7.3963,Unqualified with Additional Language,0.62936,4.51821,22.07411,8.32675,8.74285,63.6293,-34.5843,22.1049,71.2228,8.7539,189.351,0.0,636.338,593.112,0.0,430.856,849.623,-70.828,0.0,214.573,-0.745,216.355
11,AB,AllianceBernstein Holding L.P.,AllianceBernstein Holding L.P.  Units,,Finance,0.086285512,IQ249248,NYSE:AB,United States,AllianceBernstein Holding L.P. is publicly owned investment manager.,192.513,7.0745,9.8518,100.0,0.0,86.8455,Unqualified,0.11319,0.0,0.0,0.0,0.0,0.0,-30.9088,-31.6832,-55.8449,12.4033,0.0,79.5082,0.0,0.0,0.0,0.0,1797.892,0.0,0.0,133.073,0.0,0.0
12,ABB,ABB Ltd,ABB Ltd Common Stock,,Energy,0.056968126,IQ18527,SWX:ABBN,Switzerland,"ABB Ltd manufactures and sells electrification, automation, robotics, and motion products for customers in utilities, industry and transport, and infrastructure in Switzerland and internationally.",31795.0,7.6857,23.7701,30.25,14.8419,9.124,Unqualified,0.93875,1.7305,99.8797,81.10738,81.75453,16.1403,-8.9282,-6.9596,1.7433,5.2012,4719.0,35.4015,9554.0,4072.0,3026.0,12828.0,10321.0,-7218.0,587.0,4027.0,-2172.0,720.0
13,ABC,AmerisourceBergen Corporation,AmerisourceBergen Corporation Common Stock,,Health Care,0.140177817,IQ24809,NYSE:ABC,United States,AmerisourceBergen Corporation sources and distributes pharmaceutical products.,71759.99,4.3801,18.8648,2.9265,1.3848,0.7015,Unqualified with Additional Language,5.56483,1.05002,18.81137,24.06226,41.05995,43.3651,2.2371,100.9095,6.335,11.09,993.743,12.4545,1009.368,619.238,2542.352,2919.76,-142.595,168.633,0.0,783.763,-148.349,131.254
14,ABCB,Ameris Bancorp,Ameris Bancorp Common Stock,1994.0,Finance,0.203254744,IQ28285216,,United States,Ameris Bank operates as a bank.,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,67.753,0.0,3.064,0.0,0.0,0.0,0.0,0.0,0.0
15,ABEO,Abeona Therapeutics Inc.,Abeona Therapeutics Inc. Common Stock,,Health Care,-0.323545633,IQ360935,NasdaqCM:ABEO,United States,"Abeona Therapeutics Inc., a clinical-stage biopharmaceutical company, develops gene and cell therapies for life-threatening rare genetic diseases.",0.352,-210.2015,0.0,100.0,0.0,0.0,Unqualified Going Concern,0.12235,0.07934,94.8792,0.0,0.0,0.0,20.9621,0.0,0.0,-62.0475,-9.417,0.0,0.607,0.05,0.0,-241.807,-27.776,4.893,0.0,-2.248,-0.001,-2.07
16,ABEV,Ambev S.A.,Ambev S.A. American Depositary Shares (Each representing 1 Common Share),2013.0,Consumer Staples,0.063420898,IQ134386019,BOVESPA:ABEV3,Brazil,"Ambev S.A., through its subsidiaries, produces, distributes, and sells beer, draft beer, carbonated soft drinks, other non-alcoholic beverages, malt, and food products.",0.0,-0.1178,12.8858,0.0,0.0,0.0,Unqualified,0.0,0.73167,0.0,0.0,0.0,1818.3703,0.0,70.2989,188.9344,679.0892,0.0,47.0905,13.71645,0.0,0.0,-76.76531,61.95974,1112.94104,0.0,24.24524,-1147.58947,-5.05506
17,ABG,"Asbury Automotive Group, Inc.",Asbury Automotive Group Inc Common Stock,2002.0,Consumer Discretionary,0.251303754,IQ25109,NYSE:ABG,United States,"Asbury Automotive Group, Inc., together with its subsidiaries, operates as an automotive retailer in the United States.",3371.8,3.8257,10.9315,17.3349,3.4195,0.3974,Unqualified,2.20978,1.35638,8.96331,76.45546,6.20902,414.7372,-17.6284,0.0,-79.0439,-15.1382,115.3,0.0,84.7,452.5,0.0,-133.8,225.1,925.6,0.0,110.9,16.1,-6.9
18,ABIO,"ARCA biopharma, Inc.",ARCA biopharma Inc. Common Stock,,Health Care,-0.455503278,IQ26198824,NasdaqCM:ABIO,United States,"ARCA biopharma, Inc., a clinical-stage biopharmaceutical company, develops and commercializes genetically targeted therapies for cardiovascular diseases.",0.0,-134.1621,-870.7003,0.0,0.0,0.0,Unqualified Going Concern,0.0,4.84063,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-15.4076,-21.493,0.0,7.763,1.026,0.0,-49.89,7.412,-7.763,0.0,-41.726,45.635,0.023
19,ABM,ABM Industries Incorporated,ABM Industries Incorporated Common Stock,,Consumer Discretionary,0.087617884,IQ250079,NYSE:ABM,United States,"ABM Industries Incorporated, through its subsidiaries, engages in the provision of integrated facility, infrastructure, and mobility solutions in the United States and internationally.",3481.823,3.33,8.3374,10.2682,3.3267,1.5593,Unqualified,2.24844,1.8121,48.14314,0.0,11.07666,25.1073,-3.9124,19.4986,106.2321,-3.4768,115.832,49.2273,34.153,56.892,547.237,512.476,79.614,138.347,221.8,140.871,-37.467,7.412
20,ABR,"Arbor Realty Trust, Inc.",Arbor Realty Trust Common Stock,2004.0,Real Estate,0.299830635,IQ6207506,NYSE:ABR,United States,"Arbor Realty Trust, Inc. invests in a diversified portfolio of structured finance assets in the multifamily, single-family rental, and commercial real estate markets in the United States.",-203.35818,-8.8833,-108.5761,0.0,-0.22897224984999376,0.0,Unqualified with Additional Language,0.0,63.52725,0.0,0.0,0.0,1838.05,0.0,0.0,-7.618,-20.1014,46.56338,0.0,67.14028,0.0,0.0,-293.58538,96.69361,1745.80141,0.0,46.56338,154.57379,63.79223
21,ABST,Absolute Software Corporation,Absolute Software Corporation Common Stock,2020.0,,0.051714596,IQ6850153,TSX:ABST,Canada,"Absolute Software Corporation develops, markets, and provides software services that support the management and security of computing devices, applications, data, and networks for various organizations.",45.75608,-9.7645,0.0,77.953,-28.5456,-4.2441,Unqualified,0.50214,1.58799,116.48245,0.0,202.46003,0.0,40.592,0.0,-41.9694,23.9514,-13.06139,0.0,55.73198,2.17469,0.0,-57.56381,1.3901,-55.73198,0.0,14.97945,0.83461,8.26903
22,ABT,Abbott Laboratories,Abbott Laboratories Common Stock,,Health Care,0.155602446,IQ247483,NYSE:ABT,United States,"Abbott Laboratories, together with its subsidiaries, discovers, develops, manufactures, and sells health care products worldwide.",30764.707,8.5785,28.2308,57.0633,27.9841,18.6767,Unqualified with Additional Language,0.64767,1.78658,71.23048,83.45835,35.06519,71.9093,4.1898,17.7252,-0.94,23.9571,8609.251,42.021,9932.048,7619.489,13200.174,17342.694,3652.131,6741.866,0.0,7275.16,-3698.71,4697.317
23,ABUS,Arbutus Biopharma Corporation,Arbutus Biopharma Corporation Common Stock,,Health Care,-0.043777515,IQ34160168,NasdaqGS:ABUS,United States,"Arbutus Biopharma Corporation, a biopharmaceutical company, develops novel therapeutics for chronic Hepatitis B virus (HBV) infection, SARS-CoV-2, and other coronaviruses in the United States.",13.77414,-13.1129,-25.3378,-23.1207,-51.901,-60.6383,Unqualified,0.3571,3.80821,21.3171,0.0,0.0,0.0,22.9878,0.0,0.0,-43.1815,-7.14893,0.0,23.2914,3.17045,0.0,-225.77115,21.44394,-23.2914,0.0,-5.28281,3.84821,-1.73805
24,ABVC,"ABVC BioPharma, Inc.",ABVC BioPharma Inc. Common Stock,,Health Care,-0.586510777,IQ325748154,NasdaqCM:ABVC,United States,"ABVC BioPharma, Inc., a clinical stage biopharmaceutical company, develops drugs and medical devices to fulfill unmet medical needs in the United States.",0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25,ACAD,ACADIA Pharmaceuticals Inc.,ACADIA Pharmaceuticals Inc. Common Stock,1985.0,Health Care,0.406179807,IQ683713,NasdaqGS:ACAD,United States,"ACADIA Pharmaceuticals Inc., a biopharmaceutical company, focuses on the development and commercialization innovative medicines that address unmet medical needs in central nervous system (CNS) disorders and rare diseases.",6.399,-48.7103,-138.6815,0.0,0.0,0.0,Unqualified,0.11191,3.29591,0.0,0.0,23.97795,3.822,302.4528,0.0,0.0,-23.1876,-43.452,0.0,47.06,1.062,0.0,-339.245,12.114,-46.597,0.0,-13.727,9.444,-3.049
26,ACCO,ACCO Brands Corporation,Acco Brands Corporation Common Stock,,Consumer Discretionary,0.019339759,IQ4184604,NYSE:ACCO,United States,"ACCO Brands Corporation designs, manufactures, and markets consumer, school, technology, and office products.",1233.3,5.1852,0.0,29.8386,10.4354,-10.2246,Unqualified,1.03248,1.79692,79.12324,98.89529,55.76105,0.0,-21.8541,0.0,92.2043,-13.6797,128.7,0.0,43.6,181.1,143.4,-1406.3,-406.4,682.2,0.0,71.5,-3.9,25.5
27,ACER,Acer Therapeutics Inc.,Acer Therapeutics Inc. Common Stock (DE),,Health Care,-0.40338971,IQ254831560,NasdaqCM:ACER,United States,"Acer Therapeutics Inc., a pharmaceutical company, focuses on the acquisition, development, and commercialization of therapies for serious rare and life-threatening diseases.",0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
28,ACGL,Arch Capital Group Ltd.,Arch Capital Group Ltd. Common Stock,,Finance,0.184322959,IQ346919,NasdaqGS:ACGL,Bermuda,"Arch Capital Group Ltd., together with its subsidiaries, provides insurance, reinsurance, and mortgage insurance products worldwide.",3501.622,4.0062,22.6124,38.6503,0.0,25.0439,Unqualified with Additional Language,0.2335,2.14104,69.09523,0.0,25.062,19.3526,18.0263,201.3908,-12.8568,5.1944,0.0,2.947,1021.899,0.0,0.0,3605.809,3974.149,502.11,0.0,992.647,-129.76,82.832
29,ACHC,"Acadia Healthcare Company, Inc.",Acadia Healthcare Company Inc. Common Stock,,Health Care,0.218351418,IQ26259736,NasdaqGS:ACHC,United States,"Acadia Healthcare Company, Inc. provides behavioral healthcare services in the United States and Puerto Rico. It offers behavioral healthcare services to its patients in various settings, including inpatient psychiatric facilities, specialty treatment facilities, residential treatment centers, eating disorder facilities, and outpatient clinics.",49.397,0.0,0.0,28.3094,9.2758,5.8242,Unqualified with Additional Language,0.0,0.75181,0.0,0.0,0.0,48.4051,56.5715,0.0,0.0,0.0,4.582,0.0,5.10602,18.40343,9.15698,-25.55756,-34.99013,5.15264,0.0,6.168,-3.411,4.444
30,ACHV,"Achieve Life Sciences, Inc.",Achieve Life Sciences Inc. Common Shares,,Health Care,-0.569933315,IQ415241078,NasdaqCM:ACHV,Canada,"Achieve Life Sciences, Inc., a clinical-stage pharmaceutical company, develops and commercializes of cytisinicline for smoking cessation and nicotine addiction in Canada, the United States, and the United Kingdom.",0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
31,ACIW,"ACI Worldwide, Inc.",ACI Worldwide Inc. Common Stock,,Technology,0.206535974,IQ35695,NasdaqGS:ACIW,United States,"ACI Worldwide, Inc., a software company, develops, markets, installs, and supports a range of software products and solutions for facilitating digital payments in the United States and internationally.",405.755,4.5684,8.6974,68.5408,16.142,4.8369,Unqualified,0.71005,1.40257,91.54456,0.0,48.09277,34.4352,-2.8488,85.4658,-43.1848,6.729,65.497,0.0,125.917,17.57,204.85,78.094,-25.73,-44.146,0.0,44.217,-23.367,12.951
32,ACLS,"Axcelis Technologies, Inc.",Axcelis Technologies Inc. Common Stock,2000.0,Technology,0.155072506,IQ416350,NasdaqGS:ACLS,United States,"Axcelis Technologies, Inc. designs, manufactures, and services ion implantation and other processing equipment used in the fabrication of semiconductor chips in the United States, Europe, and Asia Pacific.",133.022,-11.3159,-28.918,21.0972,-45.2985,-58.2369,Unqualified,0.37695,6.50623,63.9053,460.20733,46.66416,0.0,-46.8368,0.0,0.0,-44.9444,-60.257,0.0,45.02,40.868,0.0,-275.947,216.399,-45.02,0.0,-33.942,123.285,7.326
33,ACM,AECOM,AECOM Common Stock,2007.0,Consumer Discretionary,0.04411695,IQ701179,NYSE:ACM,United States,"AECOM, together with its subsidiaries, provides professional infrastructure consulting services worldwide.",6119.0,4.4678,12.5725,5.7362,5.6123,3.105,Unqualified with Additional Language,1.6569,1.42255,100.52757,0.0,25.258,9.7588,17.7935,29.0532,35.3259,5.386,343.417,0.0,290.777,228.835,1062.919,414.345,602.307,-119.568,135.7,228.64,-14.29,93.655
34,ACN,Accenture plc,Accenture plc Class A Ordinary Shares (Ireland),2001.0,Consumer Discretionary,0.19978184,IQ972190,NYSE:ACN,Ireland,"Accenture plc, a professional services company, provides strategy and consulting, interactive, industry X, song, and technology and operation services worldwide.",21576.85,14.6685,58.9202,31.7058,15.7192,7.3688,Unqualified,1.75035,1.44103,66.62601,0.0,21.48281,0.0282,-7.7393,-6.0168,12.7335,-1.1517,3391.729,19.3527,4549.566,701.144,825.152,3947.129,2010.069,-4548.611,0.0,3160.202,-245.174,938.902
35,ACNB,ACNB Corporation,ACNB Corporation Common Stock,,Finance,0.159432788,IQ246951,NasdaqCM:ACNB,United States,"ACNB Corporation, a financial holding company, offers banking, insurance, and financial services to individual, business, and government customers in the United States.",39.205,0.7447,8.3581,0.0,0.2656038770564979,18.4134,Unqualified with Additional Language,0.0,0.0,0.0,0.0,0.0,0.0,15.6762,7.0432,0.0,-1.5128,10.413,62.5017,21.258,14.76,5.972,65.623,77.969,114.327,6.197,10.413,18.191,7.213
36,ACNT,Ascent Industries Co.,Ascent Industries Co. Common Stock,,Industrials,0.059216407,IQ306302,NasdaqGM:ACNT,United States,"Ascent Industries Co. an industrials company, focuses on the production and distribution of industrial tubular products and specialty chemicals in the United States and internationally.",103.63959,0.5076,0.3481,9.1555,2.9272,0.2069,Unqualified,1.19871,4.45322,55.84306,124.60994,33.2838,0.0,-38.0402,-96.4144,239.8775,-17.3394,3.03377,294.2008,14.09656,15.79688,2.35473,69.1134,60.36601,-14.09656,0.0,20.18853,4.86757,13.99934
37,ACOR,"Acorda Therapeutics, Inc.",Acorda Therapeutics Inc. Common Stock,2006.0,Health Care,-0.226149923,IQ24246,NasdaqGS:ACOR,United States,"Acorda Therapeutics, Inc., a biopharmaceutical company, develops and commercializes therapies for neurological disorders in the United States.",54.673,-16.9011,-48.7328,79.1688,-143.5717,-153.5309,Unqualified,0.18195,4.02303,34.58667,208.89425,326.84765,5.1786,14.3145,0.0,0.0,13.4883,-78.495,0.0,272.09244,1.89132,0.0,-428.31688,120.18414,-264.98041,0.0,38.634,-16.405,17.701
38,ACR,ACRES Commercial Realty Corp.,ACRES Commercial Realty Corp. Common Stock,,Real Estate,0.061695922,IQ20448255,NYSE:ACR,United States,"ACRES Commercial Realty Corp., a real estate investment trust (REIT), focuses on the origination, holding, and management of commercial real estate mortgage loans and other commercial real estate-related debt investments in the United States.",36.483,0.3401,3.0539,100.0,1.277910259572952,17.3752,Unqualified,0.01958,62.09122,0.0,0.0,0.0,676.3278,326.1037,0.0,-8.4947,-7.4703,46.622,513.7087,51.991,0.001,0.0,-114.569,228.83,1495.65,0.0,46.622,17.785,37.408
39,ACTG,Acacia Research Corporation,Acacia Research Corporation (Acacia Tech) Common Stock,,Miscellaneous,-0.113849895,IQ4058466,NasdaqGS:ACTG,United States,"Acacia Research Corporation, together with its subsidiaries, invests in intellectual property and related absolute return assets; and engages in the licensing and enforcement of patented technologies.",67.34,-4.695,-9.8379,32.1755,-1.4359,-16.7656,Unqualified with Additional Language,0.88998,2.64285,34.00121,0.0,2.35352,0.0,39.6313,0.0,519.923,7.0914,-0.967,0.0,51.735,0.163,0.0,-120.242,35.952,-51.735,0.0,16.118,-8.652,3.456
40,ACU,Acme United Corporation,Acme United Corporation. Common Stock,1988.0,Consumer Discretionary,0.126639251,IQ247812,NYSEAM:ACU,United States,"Acme United Corporation supplies first aid and safety, cutting, sharpening, and measuring products to the school, home, office, hardware, sporting goods, and industrial markets in the United States, Canada, Europe, and internationally.",59.14855,4.3122,11.9846,37.3187,6.6688,4.8049,Unqualified,1.34837,5.25575,65.6197,192.80979,40.25877,37.3004,-13.927,-36.377,101.5365,-6.8568,3.94451,23.3119,6.51907,2.08817,0.0,20.50788,22.6776,2.63494,0.0,6.58144,-0.69918,1.2945
41,ADBE,Adobe Inc.,Adobe Inc. Common Stock,1986.0,Technology,0.245962118,IQ24321,NasdaqGS:ADBE,United States,"Adobe Inc., together with its subsidiaries, operates as a diversified software company worldwide.",2945.853,6.9805,8.3111,89.9271,34.4279,13.1204,Unqualified with Additional Language,0.44962,2.92892,54.25129,0.0,70.37794,20.4475,-17.7111,-55.6663,-12.7189,25.09,1014.196,0.0,1904.473,388.132,3494.589,5299.914,784.278,-904.473,0.0,1117.794,-1497.096,113.037
42,ADC,Agree Realty Corporation,Agree Realty Corporation Common Stock,,Real Estate,0.173265982,IQ333332,NYSE:ADC,United States,Agree Realty Corporation is a publicly traded real estate investment trust primarily engaged in the acquisition and development of properties net leased to industry-leading retail tenants.,31.97009,4.4751,10.4833,87.8308,76.8436,53.3123,Unqualified,0.12327,0.40714,17.08419,0.0,130.9182,74.8264,-2.8813,13.4947,7.5204,1.9042,24.56697,100.5009,0.68868,256.3677,0.0,-10.6328,136.76332,103.93888,0.0,23.57964,-8.86715,0.02
43,ADD,"Color Star Technology Co., Ltd.",Color Star Technology Co. Ltd. Ordinary Shares,,,-0.322721984,IQ44465974,NasdaqCM:ADD,United States,"Color Star Technology Co., Ltd., an entertainment and education company, provides online entertainment performances and music education services in the United States and China.",39.7148,17.9169,39.6215,38.2647,39.4397,30.3878,Unqualified,0.84465,1.26286,97.33163,53.03961,125.79251,14.5055,44.0766,133.6959,-34.2364,49.3169,15.66343,3.918,3.70669,22.08972,0.0,15.54907,30.04235,1.55646,0.0,3.36113,-1.77192,1.72431
44,ADEA,Adeia Inc.,Adeia Inc. Common Stock,2003.0,Technology,-0.024865111,IQ7685232,NasdaqGS:ADEA,United States,"Adeia Inc., together with its subsidiaries, operates as a media and semiconductor intellectual property licensing company worldwide.",299.44,16.0761,13.6977,94.3324,55.2144,23.3088,Unqualified,0.53572,12.6066,15.21284,33.38984,56.63413,0.0,20.6004,1403.576,66.8433,22.8731,165.334,0.0,387.958,42.483,45.15,180.365,449.282,-387.958,0.0,114.291,-116.903,19.983
45,ADES,"Advanced Emissions Solutions, Inc.",Advanced Emissions Solutions Inc. Common Stock,,Industrials,0.157761928,IQ5013582,,United States,"As of February 1, 2023, Advanced Emissions Solutions, Inc. was acquired by Arq Limited, in a reverse merger transaction.",20.061,-12.7466,-23.3666,30.8608,-56.1437,-43.7216,Unqualified,0.34555,1.25312,107.61113,37.44718,240.46054,0.0,23.8868,0.0,0.0,-45.4806,-11.263,0.0,1.856,0.848,0.435,-12.748,23.588,-1.856,0.604,-1.603,-25.867,-26.745
46,ADI,"Analog Devices, Inc.",Analog Devices Inc. Common Stock,,Technology,0.173151746,IQ251411,NasdaqGS:ADI,United States,"Analog Devices, Inc. designs, manufactures, tests, and markets integrated circuits (ICs), software, and subsystems that leverage analog, mixed-signal, and digital signal processing technologies.",2014.908,6.5489,9.9974,55.518,23.7401,12.2969,Unqualified,0.62377,6.44219,55.67052,115.29736,51.84052,15.01,-21.9915,-68.4883,-35.4394,9.0073,478.343,94.0332,1815.973,476.516,250.881,2434.446,2271.413,-1436.347,0.0,432.148,-534.729,46.13
47,ADM,Archer-Daniels-Midland Company,Archer-Daniels-Midland Company Common Stock,,,0.066178815,IQ251704,NYSE:ADM,United States,"Archer-Daniels-Midland Company procures, transports, stores, processes, and merchandises agricultural commodities, products, and ingredients in the United States, Switzerland, the Cayman Islands, Brazil, Mexico, Canada, the United Kingdom, and internationally.",69207.0,4.8988,12.4378,5.9271,5.0139,2.4332,Unqualified,2.01658,2.18436,49.56007,50.29408,35.8733,58.5658,-0.8723,-5.3933,0.0,-14.7723,3470.0,20.6057,1555.0,7950.0,532.0,8778.0,13095.0,5815.0,0.0,5341.0,-1871.0,245.0
